snapshot_date,opportunity_id,account_id,region_code,stage_name,weighted_pipeline_usd,commit_probability,expected_close_date,slippage_risk
2024-10-25,OPP-202410-ACC-1006-0,ACC-1006,NA,solution-fit,141007.72,0.393,2025-01-12,medium
2024-10-25,OPP-202410-ACC-1006-1,ACC-1006,NA,proposal,82955.77,0.65,2024-12-19,low
2024-10-25,OPP-202410-ACC-1006-2,ACC-1006,NA,commit,41003.87,0.758,2025-02-13,low
2024-10-25,OPP-202410-ACC-1006-3,ACC-1006,NA,solution-fit,32864.05,0.374,2025-02-17,medium
2024-10-25,OPP-202410-ACC-1007-0,ACC-1007,EU,proposal,6112.75,0.512,2024-12-04,medium
2024-10-25,OPP-202410-ACC-1007-1,ACC-1007,EU,commit,17650.18,0.81,2025-02-21,low
2024-10-25,OPP-202410-ACC-1007-2,ACC-1007,EU,proposal,18842.7,0.634,2024-12-20,low
2024-10-25,OPP-202410-ACC-1008-0,ACC-1008,AP,solution-fit,2893.43,0.468,2025-02-19,medium
2024-10-25,OPP-202410-ACC-1008-1,ACC-1008,AP,commit,6575.45,0.808,2025-02-06,low
2024-10-25,OPP-202410-ACC-1008-2,ACC-1008,AP,proposal,8682.92,0.633,2025-01-27,low
2024-10-25,OPP-202410-ACC-1009-0,ACC-1009,LA,proposal,34856.54,0.727,2024-12-25,high
2024-10-25,OPP-202410-ACC-1009-1,ACC-1009,LA,discover,68278.37,0.239,2025-02-03,high
2024-10-25,OPP-202410-ACC-1009-2,ACC-1009,LA,proposal,48235.51,0.688,2025-01-25,low
2024-10-25,OPP-202410-ACC-1009-3,ACC-1009,LA,proposal,88868.37,0.716,2025-02-20,low
2024-10-25,OPP-202410-ACC-1010-0,ACC-1010,ME,discover,29700.85,0.226,2024-12-25,high
2024-10-25,OPP-202410-ACC-1010-1,ACC-1010,ME,proposal,21383.29,0.64,2024-11-10,low
2024-10-25,OPP-202410-ACC-1010-2,ACC-1010,ME,solution-fit,19397.8,0.274,2025-02-16,high
2024-10-25,OPP-202410-ACC-1011-0,ACC-1011,AF,solution-fit,13350.36,0.466,2025-01-15,medium
2024-10-25,OPP-202410-ACC-1011-1,ACC-1011,AF,solution-fit,10107.02,0.43,2024-12-08,medium
2024-10-25,OPP-202410-ACC-1011-2,ACC-1011,AF,solution-fit,8153.73,0.395,2024-12-30,medium
2024-10-25,OPP-202410-ACC-1012-0,ACC-1012,NA,solution-fit,126317.37,0.282,2025-01-03,high
2024-10-25,OPP-202410-ACC-1012-1,ACC-1012,NA,proposal,99917.14,0.602,2024-11-07,high
2024-10-25,OPP-202410-ACC-1012-2,ACC-1012,NA,solution-fit,144304.77,0.405,2024-12-20,medium
2024-10-25,OPP-202410-ACC-1012-3,ACC-1012,NA,solution-fit,133443.61,0.375,2025-01-21,high
2024-10-25,OPP-202410-ACC-1013-0,ACC-1013,EU,solution-fit,43423.45,0.321,2025-01-20,high
2024-10-25,OPP-202410-ACC-1013-1,ACC-1013,EU,proposal,20021.6,0.564,2025-02-10,medium
2024-10-25,OPP-202410-ACC-1013-2,ACC-1013,EU,proposal,30589.75,0.594,2025-01-12,low
2024-10-25,OPP-202410-ACC-1014-0,ACC-1014,AP,commit,7620.18,0.755,2024-11-17,low
2024-10-25,OPP-202410-ACC-1014-1,ACC-1014,AP,solution-fit,3811.07,0.413,2024-11-29,high
2024-10-25,OPP-202410-ACC-1014-2,ACC-1014,AP,solution-fit,2315.57,0.432,2024-11-10,medium
2024-10-25,OPP-202410-ACC-1015-0,ACC-1015,LA,solution-fit,19665.08,0.425,2024-12-10,medium
2024-10-25,OPP-202410-ACC-1015-1,ACC-1015,LA,proposal,21477.93,0.588,2024-11-20,high
2024-10-25,OPP-202410-ACC-1015-2,ACC-1015,LA,commit,56103.63,0.818,2025-01-25,low
2024-10-25,OPP-202410-ACC-1015-3,ACC-1015,LA,proposal,25083.78,0.582,2024-11-13,low
2024-10-25,OPP-202410-ACC-1016-0,ACC-1016,ME,proposal,18064.69,0.69,2025-02-11,low
2024-10-25,OPP-202410-ACC-1016-1,ACC-1016,ME,commit,36280.17,0.766,2025-02-06,low
2024-10-25,OPP-202410-ACC-1016-2,ACC-1016,ME,commit,38410.86,0.771,2025-01-04,low
2024-10-25,OPP-202410-ACC-1017-0,ACC-1017,AF,proposal,7990.02,0.63,2024-12-21,low
2024-10-25,OPP-202410-ACC-1017-1,ACC-1017,AF,proposal,8551.28,0.716,2024-12-09,low
2024-10-25,OPP-202410-ACC-1017-2,ACC-1017,AF,solution-fit,3489.8,0.294,2024-12-14,high
2024-10-25,OPP-202410-ACC-1018-0,ACC-1018,NA,commit,79191.12,0.755,2024-12-18,high
2024-10-25,OPP-202410-ACC-1018-1,ACC-1018,NA,solution-fit,25366.17,0.405,2025-01-08,medium
2024-10-25,OPP-202410-ACC-1018-2,ACC-1018,NA,proposal,58093.09,0.704,2025-01-26,low
2024-10-25,OPP-202410-ACC-1018-3,ACC-1018,NA,solution-fit,99920.97,0.46,2024-12-27,medium
2024-10-25,OPP-202410-ACC-1019-0,ACC-1019,EU,proposal,12887.58,0.654,2025-02-15,low
2024-10-25,OPP-202410-ACC-1019-1,ACC-1019,EU,solution-fit,24594.92,0.316,2024-12-19,high
2024-10-25,OPP-202410-ACC-1019-2,ACC-1019,EU,solution-fit,19247.81,0.354,2024-11-22,high
2024-10-25,OPP-202410-ACC-1020-0,ACC-1020,AP,solution-fit,2179.5,0.425,2024-11-23,medium
2024-10-25,OPP-202410-ACC-1020-1,ACC-1020,AP,solution-fit,7354.28,0.442,2025-02-15,medium
2024-10-25,OPP-202410-ACC-1020-2,ACC-1020,AP,proposal,5226.22,0.648,2024-11-13,low
2024-10-25,OPP-202410-ACC-1021-0,ACC-1021,LA,solution-fit,17230.16,0.447,2025-01-29,medium
2024-10-25,OPP-202410-ACC-1021-1,ACC-1021,LA,solution-fit,58541.85,0.337,2024-11-21,high
2024-10-25,OPP-202410-ACC-1021-2,ACC-1021,LA,proposal,78083.01,0.719,2024-12-30,high
2024-10-25,OPP-202410-ACC-1021-3,ACC-1021,LA,solution-fit,27876.68,0.422,2024-12-02,medium
2024-10-25,OPP-202410-ACC-1022-0,ACC-1022,ME,discover,35764.25,0.233,2025-02-19,high
2024-10-25,OPP-202410-ACC-1022-1,ACC-1022,ME,solution-fit,34626.74,0.482,2025-01-05,medium
2024-10-25,OPP-202410-ACC-1022-2,ACC-1022,ME,solution-fit,28974.54,0.31,2025-01-19,high
2024-10-25,OPP-202410-ACC-1023-0,ACC-1023,AF,solution-fit,8774.03,0.343,2025-02-19,high
2024-10-25,OPP-202410-ACC-1023-1,ACC-1023,AF,commit,9094.75,0.81,2024-12-28,low
2024-10-25,OPP-202410-ACC-1023-2,ACC-1023,AF,proposal,8948.41,0.65,2025-02-01,low
2024-10-25,OPP-202410-ACC-1024-0,ACC-1024,NA,solution-fit,40240.17,0.277,2024-11-29,high
2024-10-25,OPP-202410-ACC-1024-1,ACC-1024,NA,discover,13542.24,0.232,2025-01-04,high
2024-10-25,OPP-202410-ACC-1024-2,ACC-1024,NA,solution-fit,15853.93,0.457,2025-01-07,medium
2024-10-25,OPP-202410-ACC-1024-3,ACC-1024,NA,commit,48092.46,0.784,2025-02-16,low
2024-10-25,OPP-202410-ACC-1025-0,ACC-1025,EU,commit,23484.44,0.806,2024-12-31,low
2024-10-25,OPP-202410-ACC-1025-1,ACC-1025,EU,commit,14029.47,0.758,2025-02-08,high
2024-10-25,OPP-202410-ACC-1025-2,ACC-1025,EU,proposal,7360.38,0.693,2024-12-22,low
2024-10-25,OPP-202410-ACC-1026-0,ACC-1026,AP,proposal,16417.06,0.621,2025-02-21,low
2024-10-25,OPP-202410-ACC-1026-1,ACC-1026,AP,commit,17063.64,0.815,2024-11-18,low
2024-10-25,OPP-202410-ACC-1026-2,ACC-1026,AP,solution-fit,17127.53,0.476,2025-01-16,medium
2024-10-25,OPP-202410-ACC-1027-0,ACC-1027,LA,solution-fit,25108.03,0.445,2024-12-10,high
2024-10-25,OPP-202410-ACC-1027-1,ACC-1027,LA,solution-fit,22342.66,0.359,2024-11-18,medium
2024-10-25,OPP-202410-ACC-1027-2,ACC-1027,LA,proposal,31168.46,0.716,2024-12-28,low
2024-10-25,OPP-202410-ACC-1027-3,ACC-1027,LA,solution-fit,62104.94,0.294,2024-11-30,high
2024-10-25,OPP-202410-ACC-1028-0,ACC-1028,ME,solution-fit,12292.21,0.432,2025-02-13,medium
2024-10-25,OPP-202410-ACC-1028-1,ACC-1028,ME,proposal,26960.52,0.72,2024-11-27,high
2024-10-25,OPP-202410-ACC-1028-2,ACC-1028,ME,proposal,19917.23,0.516,2024-12-13,medium
2024-10-25,OPP-202410-ACC-1029-0,ACC-1029,AF,solution-fit,12238.39,0.35,2025-01-16,medium
2024-10-25,OPP-202410-ACC-1029-1,ACC-1029,AF,solution-fit,8563.37,0.419,2024-11-24,medium
2024-10-25,OPP-202410-ACC-1029-2,ACC-1029,AF,solution-fit,7057.01,0.285,2025-01-12,high
2024-10-25,OPP-202410-ACC-1030-0,ACC-1030,NA,solution-fit,64478.32,0.381,2024-12-12,medium
2024-10-25,OPP-202410-ACC-1030-1,ACC-1030,NA,solution-fit,134943.63,0.34,2024-12-27,high
2024-10-25,OPP-202410-ACC-1030-2,ACC-1030,NA,discover,111312.27,0.229,2024-12-04,high
2024-10-25,OPP-202410-ACC-1030-3,ACC-1030,NA,commit,136685.62,0.807,2024-11-28,low
2024-10-25,OPP-202410-ACC-1031-0,ACC-1031,EU,solution-fit,41310.16,0.373,2024-12-07,medium
2024-10-25,OPP-202410-ACC-1031-1,ACC-1031,EU,proposal,29200.36,0.53,2024-12-17,high
2024-10-25,OPP-202410-ACC-1031-2,ACC-1031,EU,proposal,42855.29,0.651,2024-12-22,low
2024-10-25,OPP-202410-ACC-1032-0,ACC-1032,AP,discover,11849.24,0.23,2025-01-08,high
2024-10-25,OPP-202410-ACC-1032-1,ACC-1032,AP,proposal,8440.73,0.707,2024-12-02,low
2024-10-25,OPP-202410-ACC-1032-2,ACC-1032,AP,solution-fit,3415.35,0.408,2024-12-19,medium
2024-10-25,OPP-202410-ACC-1033-0,ACC-1033,LA,proposal,47280.85,0.561,2024-11-15,medium
2024-10-25,OPP-202410-ACC-1033-1,ACC-1033,LA,solution-fit,27989.91,0.462,2024-12-18,medium
2024-10-25,OPP-202410-ACC-1033-2,ACC-1033,LA,proposal,89643.14,0.502,2025-01-27,medium
2024-10-25,OPP-202410-ACC-1033-3,ACC-1033,LA,proposal,101866.6,0.613,2024-11-24,high
2024-10-25,OPP-202410-ACC-1034-0,ACC-1034,ME,solution-fit,29583.35,0.397,2024-11-30,medium
2024-10-25,OPP-202410-ACC-1034-1,ACC-1034,ME,proposal,30298.38,0.622,2024-12-23,low
2024-10-25,OPP-202410-ACC-1034-2,ACC-1034,ME,proposal,31722.76,0.534,2024-11-30,high
2024-10-25,OPP-202410-ACC-1035-0,ACC-1035,AF,solution-fit,9773.44,0.307,2024-12-18,high
2024-10-25,OPP-202410-ACC-1035-1,ACC-1035,AF,proposal,19125.44,0.643,2024-11-28,low
2024-10-25,OPP-202410-ACC-1035-2,ACC-1035,AF,proposal,5133.44,0.728,2024-12-23,low
2024-10-25,OPP-202410-ACC-1036-0,ACC-1036,NA,solution-fit,64416.16,0.452,2024-11-27,medium
2024-10-25,OPP-202410-ACC-1036-1,ACC-1036,NA,discover,105728.08,0.222,2024-11-22,high
2024-10-25,OPP-202410-ACC-1036-2,ACC-1036,NA,solution-fit,95621.04,0.318,2024-11-06,high
2024-10-25,OPP-202410-ACC-1036-3,ACC-1036,NA,proposal,122063.68,0.531,2025-01-14,medium
2024-10-25,OPP-202410-ACC-1037-0,ACC-1037,EU,discover,22925.37,0.222,2024-12-18,high
2024-10-25,OPP-202410-ACC-1037-1,ACC-1037,EU,solution-fit,27683.0,0.403,2024-12-29,high
2024-10-25,OPP-202410-ACC-1037-2,ACC-1037,EU,solution-fit,23855.8,0.47,2025-01-14,medium
2024-10-25,OPP-202410-ACC-1038-0,ACC-1038,AP,solution-fit,4497.83,0.3,2025-02-02,high
2024-10-25,OPP-202410-ACC-1038-1,ACC-1038,AP,proposal,15544.67,0.586,2024-11-17,high
2024-10-25,OPP-202410-ACC-1038-2,ACC-1038,AP,proposal,16220.47,0.511,2024-12-28,medium
2024-10-25,OPP-202410-ACC-1039-0,ACC-1039,LA,solution-fit,27396.3,0.261,2024-11-09,high
2024-10-25,OPP-202410-ACC-1039-1,ACC-1039,LA,solution-fit,42653.23,0.299,2024-11-14,high
2024-10-25,OPP-202410-ACC-1039-2,ACC-1039,LA,solution-fit,54623.51,0.285,2024-12-30,high
2024-10-25,OPP-202410-ACC-1039-3,ACC-1039,LA,proposal,17591.77,0.673,2025-02-22,low
2024-10-25,OPP-202410-ACC-1040-0,ACC-1040,ME,commit,14308.04,0.769,2024-12-18,low
2024-10-25,OPP-202410-ACC-1040-1,ACC-1040,ME,solution-fit,33876.8,0.276,2025-01-20,high
2024-10-25,OPP-202410-ACC-1040-2,ACC-1040,ME,proposal,7870.79,0.578,2025-01-20,medium
2024-10-25,OPP-202410-ACC-1041-0,ACC-1041,AF,solution-fit,3086.42,0.48,2024-11-14,medium
2024-10-25,OPP-202410-ACC-1041-1,ACC-1041,AF,proposal,6195.72,0.58,2024-12-19,high
2024-10-25,OPP-202410-ACC-1041-2,ACC-1041,AF,solution-fit,4777.76,0.315,2024-12-31,high
2024-10-25,OPP-202410-ACC-1042-0,ACC-1042,NA,proposal,52774.63,0.612,2025-02-20,low
2024-10-25,OPP-202410-ACC-1042-1,ACC-1042,NA,solution-fit,59897.59,0.257,2024-11-17,high
2024-10-25,OPP-202410-ACC-1042-2,ACC-1042,NA,solution-fit,30277.6,0.466,2024-12-27,medium
2024-10-25,OPP-202410-ACC-1042-3,ACC-1042,NA,commit,43410.57,0.759,2025-01-08,high
2024-10-25,OPP-202410-ACC-1043-0,ACC-1043,EU,solution-fit,23523.47,0.484,2024-11-10,medium
2024-10-25,OPP-202410-ACC-1043-1,ACC-1043,EU,solution-fit,25352.8,0.304,2024-11-13,high
2024-10-25,OPP-202410-ACC-1043-2,ACC-1043,EU,proposal,16774.2,0.682,2024-11-09,high
2024-10-25,OPP-202410-ACC-1044-0,ACC-1044,AP,proposal,12245.17,0.637,2024-11-09,high
2024-10-25,OPP-202410-ACC-1044-1,ACC-1044,AP,proposal,8414.77,0.617,2025-02-19,high
2024-10-25,OPP-202410-ACC-1044-2,ACC-1044,AP,commit,15715.07,0.775,2025-01-28,low
2024-10-25,OPP-202410-ACC-1045-0,ACC-1045,LA,solution-fit,86505.47,0.435,2024-12-01,high
2024-10-25,OPP-202410-ACC-1045-1,ACC-1045,LA,solution-fit,83366.57,0.412,2025-01-30,medium
2024-10-25,OPP-202410-ACC-1045-2,ACC-1045,LA,solution-fit,64061.43,0.327,2024-11-08,high
2024-10-25,OPP-202410-ACC-1045-3,ACC-1045,LA,solution-fit,79561.54,0.316,2024-12-01,high
2024-10-25,OPP-202410-ACC-1046-0,ACC-1046,ME,proposal,8789.61,0.693,2025-01-14,low
2024-10-25,OPP-202410-ACC-1046-1,ACC-1046,ME,proposal,23450.34,0.613,2025-02-09,low
2024-10-25,OPP-202410-ACC-1046-2,ACC-1046,ME,commit,12493.77,0.762,2025-02-08,high
2024-10-25,OPP-202410-ACC-1047-0,ACC-1047,AF,commit,2623.62,0.776,2025-01-20,low
2024-10-25,OPP-202410-ACC-1047-1,ACC-1047,AF,solution-fit,7576.4,0.486,2024-12-20,medium
2024-10-25,OPP-202410-ACC-1047-2,ACC-1047,AF,solution-fit,6527.9,0.409,2024-12-01,medium
2024-10-25,OPP-202410-ACC-1048-0,ACC-1048,NA,commit,54871.13,0.764,2025-02-14,high
2024-10-25,OPP-202410-ACC-1048-1,ACC-1048,NA,proposal,150165.76,0.595,2025-01-06,low
2024-10-25,OPP-202410-ACC-1048-2,ACC-1048,NA,solution-fit,70871.08,0.333,2025-02-08,high
2024-10-25,OPP-202410-ACC-1048-3,ACC-1048,NA,commit,35490.85,0.802,2025-02-18,low
2024-10-25,OPP-202410-ACC-1049-0,ACC-1049,EU,solution-fit,26626.47,0.32,2025-01-22,high
2024-10-25,OPP-202410-ACC-1049-1,ACC-1049,EU,solution-fit,18539.5,0.351,2024-12-21,medium
2024-10-25,OPP-202410-ACC-1049-2,ACC-1049,EU,proposal,24414.07,0.726,2025-02-01,low
2024-10-25,OPP-202410-ACC-1050-0,ACC-1050,AP,proposal,11869.01,0.575,2024-12-02,medium
2024-10-25,OPP-202410-ACC-1050-1,ACC-1050,AP,commit,7563.7,0.787,2024-11-18,low
2024-10-25,OPP-202410-ACC-1050-2,ACC-1050,AP,proposal,11235.86,0.502,2024-12-06,medium
2024-10-25,OPP-202410-ACC-1051-0,ACC-1051,LA,proposal,66261.75,0.74,2025-01-08,low
2024-10-25,OPP-202410-ACC-1051-1,ACC-1051,LA,solution-fit,103959.1,0.495,2024-12-03,medium
2024-10-25,OPP-202410-ACC-1051-2,ACC-1051,LA,proposal,58293.46,0.656,2025-01-09,low
2024-10-25,OPP-202410-ACC-1051-3,ACC-1051,LA,proposal,35957.3,0.666,2024-12-17,low
2024-10-25,OPP-202410-ACC-1052-0,ACC-1052,ME,proposal,18564.2,0.685,2025-02-16,low
2024-10-25,OPP-202410-ACC-1052-1,ACC-1052,ME,proposal,15767.1,0.716,2024-11-27,high
2024-10-25,OPP-202410-ACC-1052-2,ACC-1052,ME,proposal,11183.09,0.748,2024-12-02,low
2024-10-25,OPP-202410-ACC-1053-0,ACC-1053,AF,proposal,9218.37,0.618,2024-11-18,low
2024-10-25,OPP-202410-ACC-1053-1,ACC-1053,AF,solution-fit,4689.89,0.389,2024-12-30,medium
2024-10-25,OPP-202410-ACC-1053-2,ACC-1053,AF,solution-fit,10250.8,0.427,2024-12-14,high
2024-10-25,OPP-202410-ACC-1054-0,ACC-1054,NA,proposal,52834.14,0.703,2025-02-18,low
2024-10-25,OPP-202410-ACC-1054-1,ACC-1054,NA,proposal,62675.13,0.616,2025-02-06,low
2024-10-25,OPP-202410-ACC-1054-2,ACC-1054,NA,commit,29654.38,0.77,2025-01-31,low
2024-10-25,OPP-202410-ACC-1054-3,ACC-1054,NA,proposal,103958.05,0.68,2024-11-25,low
2024-10-25,OPP-202410-ACC-1055-0,ACC-1055,EU,proposal,33914.93,0.62,2024-12-13,low
2024-10-25,OPP-202410-ACC-1055-1,ACC-1055,EU,commit,11008.18,0.808,2025-01-25,low
2024-10-25,OPP-202410-ACC-1055-2,ACC-1055,EU,solution-fit,16607.37,0.446,2024-11-09,high
2024-10-25,OPP-202410-ACC-1056-0,ACC-1056,AP,proposal,11375.77,0.645,2025-02-03,high
2024-10-25,OPP-202410-ACC-1056-1,ACC-1056,AP,solution-fit,16707.29,0.486,2024-11-17,medium
2024-10-25,OPP-202410-ACC-1056-2,ACC-1056,AP,solution-fit,19424.19,0.327,2025-01-14,high
2024-10-25,OPP-202410-ACC-1057-0,ACC-1057,LA,proposal,53707.65,0.552,2024-12-25,high
2024-10-25,OPP-202410-ACC-1057-1,ACC-1057,LA,solution-fit,146270.98,0.409,2024-12-27,medium
2024-10-25,OPP-202410-ACC-1057-2,ACC-1057,LA,solution-fit,131030.21,0.467,2024-11-25,medium
2024-10-25,OPP-202410-ACC-1057-3,ACC-1057,LA,solution-fit,146631.93,0.27,2025-02-07,high
2024-10-25,OPP-202410-ACC-1058-0,ACC-1058,ME,proposal,6179.42,0.694,2024-12-30,low
2024-10-25,OPP-202410-ACC-1058-1,ACC-1058,ME,solution-fit,8648.93,0.441,2025-01-10,medium
2024-10-25,OPP-202410-ACC-1058-2,ACC-1058,ME,solution-fit,5913.41,0.392,2025-01-20,medium
2024-10-25,OPP-202410-ACC-1059-0,ACC-1059,AF,proposal,10921.73,0.68,2024-11-17,low
2024-10-25,OPP-202410-ACC-1059-1,ACC-1059,AF,proposal,8346.04,0.619,2024-12-18,low
2024-10-25,OPP-202410-ACC-1059-2,ACC-1059,AF,commit,12698.11,0.812,2025-02-10,low
2024-10-25,OPP-202410-ACC-1060-0,ACC-1060,NA,solution-fit,25648.9,0.299,2025-02-10,high
2024-10-25,OPP-202410-ACC-1060-1,ACC-1060,NA,solution-fit,56179.28,0.489,2024-12-29,medium
2024-10-25,OPP-202410-ACC-1060-2,ACC-1060,NA,proposal,57332.17,0.724,2025-01-11,low
2024-10-25,OPP-202410-ACC-1060-3,ACC-1060,NA,solution-fit,57426.38,0.497,2024-12-04,medium
2024-10-25,OPP-202410-ACC-1061-0,ACC-1061,EU,solution-fit,12288.43,0.478,2025-02-22,medium
2024-10-25,OPP-202410-ACC-1061-1,ACC-1061,EU,proposal,14554.87,0.735,2025-01-29,high
2024-10-25,OPP-202410-ACC-1061-2,ACC-1061,EU,proposal,30093.41,0.579,2025-01-30,medium
2024-10-25,OPP-202410-ACC-1062-0,ACC-1062,AP,solution-fit,6358.53,0.456,2025-02-03,medium
2024-10-25,OPP-202410-ACC-1062-1,ACC-1062,AP,solution-fit,8776.73,0.355,2024-11-17,medium
2024-10-25,OPP-202410-ACC-1062-2,ACC-1062,AP,commit,2819.77,0.813,2025-01-14,high
2024-10-25,OPP-202410-ACC-1063-0,ACC-1063,LA,solution-fit,55175.48,0.316,2024-11-18,high
2024-10-25,OPP-202410-ACC-1063-1,ACC-1063,LA,proposal,50823.25,0.613,2024-11-25,low
2024-10-25,OPP-202410-ACC-1063-2,ACC-1063,LA,discover,60252.21,0.235,2024-11-07,high
2024-10-25,OPP-202410-ACC-1063-3,ACC-1063,LA,proposal,21548.21,0.524,2024-12-17,medium
2024-10-25,OPP-202410-ACC-1064-0,ACC-1064,ME,solution-fit,4230.23,0.266,2025-02-01,high
2024-10-25,OPP-202410-ACC-1064-1,ACC-1064,ME,discover,4930.02,0.23,2024-11-11,high
2024-10-25,OPP-202410-ACC-1064-2,ACC-1064,ME,proposal,13654.77,0.508,2025-01-01,medium
2024-10-25,OPP-202410-ACC-1065-0,ACC-1065,AF,proposal,6942.03,0.543,2024-11-26,medium
2024-10-25,OPP-202410-ACC-1065-1,ACC-1065,AF,commit,11372.16,0.75,2024-11-28,high
2024-10-25,OPP-202410-ACC-1065-2,ACC-1065,AF,proposal,7610.95,0.579,2025-02-03,medium
2024-10-25,OPP-202410-ACC-1066-0,ACC-1066,NA,solution-fit,74563.37,0.459,2025-01-06,medium
2024-10-25,OPP-202410-ACC-1066-1,ACC-1066,NA,proposal,27537.21,0.725,2024-11-06,low
2024-10-25,OPP-202410-ACC-1066-2,ACC-1066,NA,solution-fit,50065.92,0.424,2025-02-08,medium
2024-10-25,OPP-202410-ACC-1066-3,ACC-1066,NA,proposal,77716.75,0.591,2025-01-10,high
2024-10-25,OPP-202410-ACC-1067-0,ACC-1067,EU,solution-fit,25778.73,0.415,2024-12-05,medium
2024-10-25,OPP-202410-ACC-1067-1,ACC-1067,EU,solution-fit,8331.51,0.495,2025-02-21,medium
2024-10-25,OPP-202410-ACC-1067-2,ACC-1067,EU,commit,8018.97,0.808,2025-01-24,low
2024-10-25,OPP-202410-ACC-1068-0,ACC-1068,AP,proposal,4136.76,0.527,2024-11-12,medium
2024-10-25,OPP-202410-ACC-1068-1,ACC-1068,AP,proposal,3808.83,0.717,2025-02-20,low
2024-10-25,OPP-202410-ACC-1068-2,ACC-1068,AP,solution-fit,15426.08,0.329,2024-12-17,high
2024-10-25,OPP-202410-ACC-1069-0,ACC-1069,LA,solution-fit,77037.71,0.292,2024-12-22,high
2024-10-25,OPP-202410-ACC-1069-1,ACC-1069,LA,proposal,58904.46,0.716,2024-12-05,low
2024-10-25,OPP-202410-ACC-1069-2,ACC-1069,LA,proposal,56195.41,0.684,2024-12-14,low
2024-10-25,OPP-202410-ACC-1069-3,ACC-1069,LA,solution-fit,87417.61,0.478,2024-12-11,medium
2024-10-25,OPP-202410-ACC-1070-0,ACC-1070,ME,proposal,7558.08,0.683,2024-11-11,high
2024-10-25,OPP-202410-ACC-1070-1,ACC-1070,ME,commit,4072.55,0.789,2024-12-17,low
2024-10-25,OPP-202410-ACC-1070-2,ACC-1070,ME,proposal,13265.09,0.737,2025-01-26,low
2024-10-25,OPP-202410-ACC-1071-0,ACC-1071,AF,solution-fit,6389.59,0.439,2025-02-14,medium
2024-10-25,OPP-202410-ACC-1071-1,ACC-1071,AF,proposal,4810.66,0.655,2025-01-16,low
2024-10-25,OPP-202410-ACC-1071-2,ACC-1071,AF,solution-fit,2170.41,0.368,2024-11-23,medium
2024-10-25,OPP-202410-ACC-1072-0,ACC-1072,NA,solution-fit,47778.09,0.491,2025-02-05,medium
2024-10-25,OPP-202410-ACC-1072-1,ACC-1072,NA,proposal,76907.04,0.728,2024-12-14,low
2024-10-25,OPP-202410-ACC-1072-2,ACC-1072,NA,proposal,37815.72,0.714,2025-02-14,low
2024-10-25,OPP-202410-ACC-1072-3,ACC-1072,NA,proposal,61470.14,0.682,2025-02-02,high
2024-10-25,OPP-202410-ACC-1073-0,ACC-1073,EU,proposal,36154.82,0.546,2024-11-29,high
2024-10-25,OPP-202410-ACC-1073-1,ACC-1073,EU,proposal,36015.96,0.748,2024-12-17,low
2024-10-25,OPP-202410-ACC-1073-2,ACC-1073,EU,proposal,51179.21,0.589,2024-12-25,low
