usage_date,account_id,active_users,weekly_sessions,support_tickets,satisfaction_score
2024-10-01,ACC-1066,438,1752,15,77.02
2024-10-01,ACC-1067,152,1216,3,80.91
2024-10-01,ACC-1068,80,800,0,85.22
2024-10-01,ACC-1069,557,5570,25,78.42
2024-10-01,ACC-1070,211,1899,8,73.87
2024-10-01,ACC-1071,57,342,0,75.92
2024-10-01,ACC-1072,423,4653,11,76.96
2024-10-01,ACC-1073,153,765,7,72.56
2024-10-01,ACC-1074,49,588,1,81.36
2024-10-01,ACC-1075,624,7488,13,84.45
2024-10-01,ACC-1076,176,880,5,83.42
2024-10-01,ACC-1077,85,510,1,88.1
2024-10-01,ACC-1078,679,6111,10,83.49
2024-10-01,ACC-1079,202,1010,3,89.95
2024-10-01,ACC-1080,64,320,2,93.72
2024-10-01,ACC-1081,707,8484,8,85.12
2024-10-01,ACC-1082,193,2316,5,87.23
2024-10-01,ACC-1083,62,744,1,79.0
2024-10-01,ACC-1084,673,4711,29,91.37
2024-10-01,ACC-1085,234,1170,2,79.24
2024-10-01,ACC-1086,53,424,2,81.43
2024-10-01,ACC-1087,591,6501,11,73.11
2024-10-01,ACC-1088,174,1914,3,80.32
2024-10-01,ACC-1089,68,680,1,86.93
2024-10-01,ACC-1090,412,3296,6,77.69
2024-10-01,ACC-1091,154,1540,2,73.36
2024-10-01,ACC-1092,64,704,1,94.89
2024-10-01,ACC-1093,578,2312,16,85.78
2024-10-01,ACC-1094,146,1606,6,82.51
2024-10-01,ACC-1095,53,636,2,86.37
2024-10-01,ACC-1096,634,7608,8,85.86
2024-10-01,ACC-1097,193,1737,8,90.87
2024-10-01,ACC-1098,71,568,1,73.86
2024-10-01,ACC-1099,672,6720,22,70.02
2024-10-01,ACC-1100,202,808,10,89.87
2024-10-01,ACC-1101,81,891,3,87.33
2024-10-01,ACC-1102,603,3618,11,70.69
2024-10-01,ACC-1103,149,1639,6,76.08
2024-10-01,ACC-1104,52,416,1,82.92
2024-10-01,ACC-1105,638,2552,19,90.56
2024-10-01,ACC-1106,247,2717,6,91.19
2024-10-01,ACC-1107,71,284,1,82.56
2024-10-01,ACC-1108,668,7348,14,86.71
2024-10-01,ACC-1109,149,1341,2,84.22
2024-10-01,ACC-1110,58,696,2,80.3
2024-10-01,ACC-1111,621,3726,9,92.88
2024-10-01,ACC-1112,238,952,7,85.06
2024-10-01,ACC-1113,76,912,2,77.76
2024-10-01,ACC-1114,484,5324,16,77.8
2024-10-01,ACC-1115,182,728,3,71.89
2024-10-01,ACC-1116,87,609,3,78.76
2024-10-01,ACC-1117,586,5274,6,89.63
2024-10-01,ACC-1118,231,924,8,92.97
2024-10-01,ACC-1119,65,390,2,87.45
2024-10-01,ACC-1120,430,3870,14,81.41
2024-10-01,ACC-1121,175,1575,4,86.19
2024-10-01,ACC-1122,54,648,1,75.08
2024-10-01,ACC-1123,421,4210,8,93.29
2024-10-01,ACC-1124,214,2354,6,89.12
2024-10-01,ACC-1125,56,336,0,95.7
2024-10-01,ACC-1126,727,6543,23,84.93
2024-10-01,ACC-1127,227,2497,10,85.66
2024-10-01,ACC-1128,83,498,3,81.89
2024-10-01,ACC-1129,651,4557,7,76.42
2024-10-01,ACC-1130,168,1680,6,80.32
2024-10-01,ACC-1131,71,284,2,92.72
2024-10-01,ACC-1132,731,7310,21,73.98
2024-10-01,ACC-1133,189,1134,8,93.91
2024-10-01,ACC-1134,81,648,0,90.58
2024-10-01,ACC-1135,385,2310,6,91.23
2024-10-01,ACC-1136,185,1665,5,95.37
2024-10-01,ACC-1137,50,550,2,87.73
2024-10-01,ACC-1138,633,4431,20,89.78
2024-10-01,ACC-1139,188,1316,6,94.56
2024-10-01,ACC-1140,56,616,0,85.54
2024-10-01,ACC-1141,485,5335,18,92.75
2024-10-01,ACC-1142,160,640,7,75.85
2024-10-01,ACC-1143,85,1020,1,72.08
2024-10-01,ACC-1144,595,4760,11,78.91
2024-10-01,ACC-1145,206,2060,5,77.43
2024-10-01,ACC-1146,53,477,2,88.42
2024-10-01,ACC-1147,525,4725,9,94.15
2024-10-01,ACC-1148,230,1380,11,82.57
2024-10-01,ACC-1149,51,510,1,74.74
2024-10-01,ACC-1150,701,7010,28,81.52
2024-10-01,ACC-1151,213,2556,8,82.31
2024-10-01,ACC-1152,86,860,1,84.12
2024-10-01,ACC-1153,502,2008,12,84.44
2024-10-01,ACC-1154,149,1192,1,80.69
2024-10-01,ACC-1155,71,781,2,71.77
2024-10-01,ACC-1156,537,2148,22,73.58
2024-10-01,ACC-1157,144,1296,2,75.12
2024-10-01,ACC-1158,51,510,2,94.19
2024-10-01,ACC-1159,622,4976,30,69.76
2024-10-01,ACC-1160,243,972,3,87.64
2024-10-01,ACC-1161,73,657,1,86.66
2024-10-01,ACC-1162,696,7656,25,69.75
2024-10-01,ACC-1163,193,1737,3,87.27
2024-10-01,ACC-1164,70,840,3,82.33
2024-10-01,ACC-1165,659,7908,30,77.2
2024-10-01,ACC-1166,230,2530,9,89.31
2024-10-01,ACC-1167,80,800,1,91.84
2024-10-01,ACC-1168,692,6228,26,78.25
2024-10-01,ACC-1169,147,1617,6,72.45
2024-10-01,ACC-1170,65,780,1,86.78
2024-10-01,ACC-1171,456,5472,17,92.47
2024-10-01,ACC-1172,203,1218,2,87.54
2024-10-01,ACC-1173,86,774,3,82.16
2024-10-01,ACC-1174,631,5679,16,80.3
2024-10-01,ACC-1175,194,2328,9,85.6
2024-10-01,ACC-1176,87,957,4,84.77
2024-10-01,ACC-1177,588,4116,14,77.36
2024-10-01,ACC-1178,235,940,7,77.16
2024-10-01,ACC-1179,82,328,1,80.3
2024-10-01,ACC-1180,557,5570,20,78.04
2024-10-01,ACC-1181,173,1038,3,89.58
2024-10-01,ACC-1182,75,375,2,81.49
2024-10-01,ACC-1183,475,3800,6,75.77
2024-10-01,ACC-1184,163,1956,6,85.81
2024-10-01,ACC-1185,52,416,2,79.12
2024-10-01,ACC-1186,626,6886,21,82.83
2024-10-01,ACC-1187,233,932,2,82.47
2024-10-01,ACC-1188,48,384,1,80.73
2024-10-01,ACC-1189,695,6255,28,87.15
2024-10-01,ACC-1190,173,1557,7,93.69
2024-10-01,ACC-1191,48,192,1,90.2
2024-10-01,ACC-1192,471,4239,19,82.86
2024-10-01,ACC-1193,193,965,9,73.26
2024-10-01,ACC-1194,51,561,1,75.44
2024-10-01,ACC-1195,544,6528,10,79.44
2024-10-01,ACC-1196,223,2453,2,91.53
2024-10-01,ACC-1197,78,936,3,87.41
2024-10-01,ACC-1198,594,2376,22,75.92
2024-10-01,ACC-1199,132,1056,4,75.46
2024-10-01,ACC-1200,78,312,3,94.09
2024-10-01,ACC-1201,624,3120,16,73.48
2024-10-01,ACC-1202,170,1870,5,81.92
2024-10-01,ACC-1203,62,558,2,88.74
2024-10-01,ACC-1204,413,2891,4,89.56
2024-10-01,ACC-1205,239,1434,8,88.16
2024-10-01,ACC-1206,57,684,1,80.27
2024-10-01,ACC-1207,596,2384,11,83.55
2024-10-01,ACC-1208,137,1233,4,91.42
2024-10-01,ACC-1209,59,295,2,86.93
2024-10-01,ACC-1210,620,5580,26,92.36
2024-10-01,ACC-1211,192,1728,3,93.32
2024-10-01,ACC-1212,58,464,2,80.05
2024-10-01,ACC-1213,547,5470,16,76.88
2024-10-01,ACC-1214,192,1152,7,77.2
2024-10-01,ACC-1215,49,343,2,81.07
2024-10-01,ACC-1216,705,2820,29,90.25
2024-10-01,ACC-1217,225,1125,10,93.91
2024-10-01,ACC-1218,61,671,1,95.75
2024-10-01,ACC-1219,646,2584,30,88.5
2024-10-01,ACC-1220,218,2616,2,81.68
2024-10-01,ACC-1221,73,511,2,88.58
2024-10-01,ACC-1222,668,8016,21,92.47
2024-10-01,ACC-1223,195,1560,4,90.46
2024-10-01,ACC-1224,67,670,1,93.37
2024-10-01,ACC-1225,570,2280,21,74.27
2024-10-01,ACC-1226,140,840,5,91.89
2024-10-01,ACC-1227,84,504,1,82.05
2024-10-01,ACC-1228,667,4669,26,87.0
2024-10-01,ACC-1229,154,1540,5,93.73
2024-10-01,ACC-1230,72,576,2,79.19
2024-10-01,ACC-1231,651,5208,32,80.21
2024-10-01,ACC-1232,194,1164,6,72.47
2024-10-01,ACC-1233,72,720,1,75.29
2024-10-01,ACC-1234,720,5040,34,91.9
2024-10-01,ACC-1235,207,2277,2,75.26
2024-10-01,ACC-1236,57,228,1,86.23
2024-10-01,ACC-1237,480,4800,13,75.93
2024-10-01,ACC-1238,216,864,4,91.77
2024-10-01,ACC-1239,54,378,0,73.3
2024-10-08,ACC-1000,521,2084,7,90.6
2024-10-08,ACC-1001,172,1892,5,94.14
2024-10-08,ACC-1002,75,300,2,79.81
2024-10-08,ACC-1003,458,5496,16,73.21
2024-10-08,ACC-1004,141,1551,3,71.78
2024-10-08,ACC-1005,52,468,1,72.89
2024-10-08,ACC-1006,454,2724,11,89.17
2024-10-08,ACC-1007,148,1036,4,84.48
2024-10-08,ACC-1008,49,392,1,90.7
2024-10-08,ACC-1009,454,2270,9,86.79
2024-10-08,ACC-1010,211,2532,2,88.23
2024-10-08,ACC-1011,50,400,1,86.05
2024-10-08,ACC-1012,520,2600,20,82.91
2024-10-08,ACC-1013,160,1920,6,76.55
2024-10-08,ACC-1014,47,517,1,77.7
2024-10-08,ACC-1015,503,5533,18,89.57
2024-10-08,ACC-1016,176,1760,3,89.76
2024-10-08,ACC-1017,60,240,1,74.51
2024-10-08,ACC-1018,483,4830,18,72.1
2024-10-08,ACC-1019,177,2124,7,94.38
2024-10-08,ACC-1020,58,638,2,76.5
2024-10-08,ACC-1021,460,1840,14,90.57
2024-10-08,ACC-1022,131,1179,6,79.69
2024-10-08,ACC-1023,64,448,2,83.73
2024-10-08,ACC-1024,547,4923,23,91.51
2024-10-08,ACC-1025,227,2043,3,93.36
2024-10-08,ACC-1026,53,318,2,87.39
2024-10-08,ACC-1027,725,4350,29,82.17
2024-10-08,ACC-1028,154,1694,1,92.87
2024-10-08,ACC-1029,68,476,2,87.14
2024-10-08,ACC-1030,625,7500,31,82.31
2024-10-08,ACC-1031,238,2142,4,94.94
2024-10-08,ACC-1032,85,850,1,87.06
2024-10-08,ACC-1033,412,4532,5,95.27
2024-10-08,ACC-1034,239,1195,9,72.83
2024-10-08,ACC-1035,78,390,1,74.79
2024-10-08,ACC-1036,421,4631,6,73.18
2024-10-08,ACC-1037,172,1032,4,86.37
2024-10-08,ACC-1038,65,390,0,93.8
2024-10-08,ACC-1039,630,6930,23,76.12
2024-10-08,ACC-1040,217,2604,9,85.15
2024-10-08,ACC-1041,55,440,2,92.91
2024-10-08,ACC-1042,624,7488,18,90.97
2024-10-08,ACC-1043,147,735,6,77.41
2024-10-08,ACC-1044,71,497,1,83.62
2024-10-08,ACC-1045,668,6012,17,75.89
2024-10-08,ACC-1046,187,1870,7,85.3
2024-10-08,ACC-1047,85,680,1,94.52
2024-10-08,ACC-1048,434,2604,8,90.08
2024-10-08,ACC-1049,140,840,4,91.38
2024-10-08,ACC-1050,47,564,1,78.45
2024-10-08,ACC-1051,526,3682,10,80.25
2024-10-08,ACC-1052,186,1116,2,84.77
2024-10-08,ACC-1053,80,640,3,94.33
2024-10-08,ACC-1054,684,5472,21,93.1
2024-10-08,ACC-1055,238,952,4,77.85
2024-10-08,ACC-1056,65,715,1,76.63
2024-10-08,ACC-1057,389,3112,9,88.33
2024-10-08,ACC-1058,199,796,9,87.18
2024-10-08,ACC-1059,61,244,2,79.88
2024-10-08,ACC-1060,467,2802,14,83.44
2024-10-08,ACC-1061,141,1269,5,87.83
2024-10-08,ACC-1062,58,522,2,91.05
2024-10-08,ACC-1063,705,3525,33,86.83
2024-10-08,ACC-1064,205,2255,2,81.09
2024-10-08,ACC-1065,86,1032,3,86.73
2024-10-08,ACC-1066,582,3492,8,94.99
2024-10-08,ACC-1067,241,2169,9,84.85
2024-10-08,ACC-1068,49,245,1,75.36
2024-10-08,ACC-1069,512,5120,23,70.0
2024-10-08,ACC-1070,185,1850,3,73.37
2024-10-08,ACC-1071,80,480,3,94.91
2024-10-08,ACC-1072,627,3135,27,70.0
2024-10-08,ACC-1073,142,1704,5,93.98
2024-10-08,ACC-1074,75,900,2,93.46
2024-10-08,ACC-1075,535,6420,24,83.82
2024-10-08,ACC-1076,194,970,3,77.09
2024-10-08,ACC-1077,63,756,3,77.39
2024-10-08,ACC-1078,625,3750,25,88.51
2024-10-08,ACC-1079,202,1818,6,72.91
2024-10-08,ACC-1080,57,228,1,75.36
2024-10-08,ACC-1081,394,3152,7,75.78
2024-10-08,ACC-1082,169,1521,1,91.71
2024-10-08,ACC-1083,55,605,1,93.58
2024-10-08,ACC-1084,608,4256,24,85.3
2024-10-08,ACC-1085,156,1404,5,84.85
2024-10-08,ACC-1086,66,726,0,93.67
2024-10-08,ACC-1087,710,6390,30,78.09
2024-10-08,ACC-1088,225,1575,11,87.92
2024-10-08,ACC-1089,46,552,1,72.64
2024-10-08,ACC-1090,604,4228,14,92.34
2024-10-08,ACC-1091,175,1750,7,80.46
2024-10-08,ACC-1092,61,305,2,75.16
2024-10-08,ACC-1093,689,2756,10,76.18
2024-10-08,ACC-1094,233,1165,5,95.03
2024-10-08,ACC-1095,88,352,2,83.91
2024-10-08,ACC-1096,645,7740,29,75.16
2024-10-08,ACC-1097,205,1845,5,88.46
2024-10-08,ACC-1098,83,996,4,80.86
2024-10-08,ACC-1099,496,4960,11,79.86
2024-10-08,ACC-1100,209,2090,4,74.65
2024-10-08,ACC-1101,87,957,3,86.49
2024-10-08,ACC-1102,663,3315,30,84.33
2024-10-08,ACC-1103,135,945,2,76.47
2024-10-08,ACC-1104,64,768,1,79.87
2024-10-08,ACC-1105,612,6120,28,75.47
2024-10-08,ACC-1106,171,1368,7,76.91
2024-10-08,ACC-1107,76,684,0,95.85
2024-10-08,ACC-1108,494,5434,14,72.95
2024-10-08,ACC-1109,226,1808,4,88.42
2024-10-08,ACC-1110,67,670,1,94.15
2024-10-08,ACC-1111,577,6924,11,84.71
2024-10-08,ACC-1112,143,572,5,92.13
2024-10-08,ACC-1113,62,744,2,71.85
2024-10-08,ACC-1114,549,4941,22,81.3
2024-10-08,ACC-1115,170,1870,8,88.11
2024-10-08,ACC-1116,83,996,1,93.64
2024-10-08,ACC-1117,603,6030,18,72.91
2024-10-08,ACC-1118,227,1589,10,85.33
2024-10-08,ACC-1119,59,354,2,90.43
2024-10-08,ACC-1120,653,7183,23,77.35
2024-10-08,ACC-1121,165,990,7,94.27
2024-10-08,ACC-1122,85,425,3,91.32
2024-10-08,ACC-1123,697,6970,9,88.26
2024-10-08,ACC-1124,213,2343,9,91.05
2024-10-08,ACC-1125,57,399,1,80.36
2024-10-08,ACC-1126,490,3920,12,77.53
2024-10-08,ACC-1127,170,1190,4,89.32
2024-10-08,ACC-1128,62,744,0,74.67
2024-10-08,ACC-1129,557,6127,19,90.59
2024-10-08,ACC-1130,233,1864,10,93.11
2024-10-08,ACC-1131,52,208,0,92.53
2024-10-08,ACC-1132,418,2090,18,93.05
2024-10-08,ACC-1133,237,2133,3,82.27
2024-10-08,ACC-1134,70,350,1,79.2
2024-10-08,ACC-1135,482,2410,11,88.64
2024-10-08,ACC-1136,182,1092,5,87.41
2024-10-08,ACC-1137,57,684,1,77.58
2024-10-08,ACC-1138,546,6552,15,70.95
2024-10-08,ACC-1139,146,876,6,88.41
2024-10-08,ACC-1140,72,864,2,87.67
2024-10-08,ACC-1141,587,7044,26,70.25
2024-10-08,ACC-1142,132,792,2,77.07
2024-10-08,ACC-1143,63,693,2,86.02
2024-10-08,ACC-1144,447,3576,12,79.92
2024-10-08,ACC-1145,171,1881,6,71.37
2024-10-08,ACC-1146,50,550,0,92.09
2024-10-08,ACC-1147,406,3248,17,72.33
2024-10-08,ACC-1148,230,1380,7,74.77
2024-10-08,ACC-1149,64,256,1,79.48
2024-10-08,ACC-1150,404,2424,9,73.28
2024-10-08,ACC-1151,156,624,3,77.27
2024-10-08,ACC-1152,50,450,0,75.05
2024-10-08,ACC-1153,393,4323,16,79.2
2024-10-08,ACC-1154,224,2240,8,90.49
2024-10-08,ACC-1155,82,410,0,76.12
2024-10-08,ACC-1156,558,6138,22,77.14
2024-10-08,ACC-1157,151,906,3,78.95
2024-10-08,ACC-1158,85,680,3,92.36
2024-10-08,ACC-1159,456,1824,19,71.29
2024-10-08,ACC-1160,137,1370,2,87.23
2024-10-08,ACC-1161,76,760,3,76.17
2024-10-08,ACC-1162,711,7110,20,74.64
2024-10-08,ACC-1163,192,1920,9,87.31
2024-10-08,ACC-1164,62,682,1,84.05
2024-10-08,ACC-1165,691,5528,29,77.67
2024-10-08,ACC-1166,213,1704,5,73.23
2024-10-08,ACC-1167,78,858,3,76.3
2024-10-08,ACC-1168,669,8028,26,86.52
2024-10-08,ACC-1169,150,900,5,82.32
2024-10-08,ACC-1170,87,696,2,82.02
2024-10-08,ACC-1171,524,3668,10,88.86
2024-10-08,ACC-1172,220,1980,8,92.5
2024-10-08,ACC-1173,70,350,3,85.44
2024-10-08,ACC-1174,499,5988,18,71.77
2024-10-08,ACC-1175,191,1337,5,89.71
2024-10-08,ACC-1176,75,750,2,86.01
2024-10-08,ACC-1177,621,3105,25,76.25
2024-10-08,ACC-1178,139,1668,1,87.93
2024-10-08,ACC-1179,61,610,2,79.4
2024-10-08,ACC-1180,475,1900,6,89.82
2024-10-08,ACC-1181,178,890,8,88.85
2024-10-08,ACC-1182,47,376,2,75.4
2024-10-08,ACC-1183,601,6010,11,88.18
2024-10-08,ACC-1184,200,800,2,95.41
2024-10-08,ACC-1185,48,576,1,93.74
2024-10-08,ACC-1186,429,1716,21,87.3
2024-10-08,ACC-1187,241,964,9,73.89
2024-10-08,ACC-1188,66,594,1,75.45
2024-10-08,ACC-1189,688,4816,27,81.91
2024-10-08,ACC-1190,147,735,5,88.74
2024-10-08,ACC-1191,60,540,2,89.26
2024-10-08,ACC-1192,657,5913,11,93.57
2024-10-08,ACC-1193,143,572,3,85.57
2024-10-08,ACC-1194,76,532,1,81.61
2024-10-08,ACC-1195,600,6600,29,86.76
2024-10-08,ACC-1196,227,1589,2,95.28
2024-10-08,ACC-1197,61,549,2,84.86
2024-10-08,ACC-1198,707,4242,31,71.13
2024-10-08,ACC-1199,138,1518,6,89.99
2024-10-08,ACC-1200,77,616,3,85.42
2024-10-08,ACC-1201,485,1940,22,84.96
2024-10-08,ACC-1202,215,2150,10,94.03
2024-10-08,ACC-1203,58,580,1,78.16
2024-10-08,ACC-1204,650,6500,29,89.66
2024-10-08,ACC-1205,130,1300,2,95.59
2024-10-08,ACC-1206,80,800,3,92.6
2024-10-08,ACC-1207,398,4776,16,72.45
2024-10-08,ACC-1208,167,2004,8,83.45
2024-10-08,ACC-1209,80,800,1,79.61
2024-10-08,ACC-1210,495,5940,10,84.35
2024-10-08,ACC-1211,187,2244,6,73.14
2024-10-08,ACC-1212,67,670,2,84.53
2024-10-08,ACC-1213,393,1965,10,84.43
2024-10-08,ACC-1214,214,856,7,83.01
2024-10-08,ACC-1215,88,704,2,89.31
2024-10-08,ACC-1216,677,6770,31,90.06
2024-10-08,ACC-1217,199,1194,7,75.87
2024-10-08,ACC-1218,68,408,1,76.14
2024-10-08,ACC-1219,668,4676,30,84.5
2024-10-08,ACC-1220,182,910,2,91.34
2024-10-08,ACC-1221,65,520,2,73.79
2024-10-08,ACC-1222,727,7997,13,76.54
2024-10-08,ACC-1223,166,1992,6,94.66
2024-10-08,ACC-1224,84,840,1,95.16
2024-10-08,ACC-1225,515,6180,18,82.86
2024-10-08,ACC-1226,223,1561,2,84.03
2024-10-08,ACC-1227,63,567,2,72.6
2024-10-08,ACC-1228,668,3340,24,87.21
2024-10-08,ACC-1229,140,1680,1,94.2
2024-10-08,ACC-1230,85,425,1,82.84
2024-10-08,ACC-1231,489,4401,8,86.01
2024-10-08,ACC-1232,187,935,2,87.93
2024-10-08,ACC-1233,75,450,2,82.68
2024-10-08,ACC-1234,589,6479,9,74.12
2024-10-08,ACC-1235,136,1632,4,81.57
2024-10-08,ACC-1236,64,576,3,80.16
2024-10-08,ACC-1237,614,3070,22,72.69
2024-10-08,ACC-1238,161,1127,6,75.01
2024-10-08,ACC-1239,78,702,2,77.28
2024-10-15,ACC-1000,412,4120,10,71.94
2024-10-15,ACC-1001,216,1512,3,77.81
2024-10-15,ACC-1002,52,260,2,73.87
2024-10-15,ACC-1003,615,4920,30,89.71
2024-10-15,ACC-1004,233,2796,2,83.2
2024-10-15,ACC-1005,62,558,1,91.39
2024-10-15,ACC-1006,718,8616,20,77.11
2024-10-15,ACC-1007,212,1484,3,75.99
2024-10-15,ACC-1008,72,360,2,85.35
2024-10-15,ACC-1009,616,3080,16,80.3
2024-10-15,ACC-1010,152,1520,2,80.32
2024-10-15,ACC-1011,80,800,0,76.6
2024-10-15,ACC-1012,527,3689,15,77.46
2024-10-15,ACC-1013,177,1416,8,89.86
2024-10-15,ACC-1014,76,304,3,81.11
2024-10-15,ACC-1015,401,3208,5,82.92
2024-10-15,ACC-1016,209,2299,4,75.15
2024-10-15,ACC-1017,87,609,1,76.48
2024-10-15,ACC-1018,666,7326,24,75.06
2024-10-15,ACC-1019,236,2124,5,77.1
2024-10-15,ACC-1020,63,504,2,79.58
2024-10-15,ACC-1021,547,4376,20,79.23
2024-10-15,ACC-1022,238,2856,7,73.08
2024-10-15,ACC-1023,63,756,2,85.2
2024-10-15,ACC-1024,659,6590,9,74.84
2024-10-15,ACC-1025,228,1368,8,72.71
2024-10-15,ACC-1026,76,836,1,87.32
2024-10-15,ACC-1027,560,4480,22,83.28
2024-10-15,ACC-1028,168,1680,2,72.29
2024-10-15,ACC-1029,47,517,1,89.31
2024-10-15,ACC-1030,568,6248,15,83.23
2024-10-15,ACC-1031,148,1776,6,88.2
2024-10-15,ACC-1032,87,1044,4,94.35
2024-10-15,ACC-1033,442,5304,19,89.03
2024-10-15,ACC-1034,199,2189,4,75.81
2024-10-15,ACC-1035,55,385,2,92.95
2024-10-15,ACC-1036,441,3087,13,79.71
2024-10-15,ACC-1037,198,1584,5,92.45
2024-10-15,ACC-1038,77,770,3,82.42
2024-10-15,ACC-1039,452,3164,7,71.23
2024-10-15,ACC-1040,188,1880,5,80.2
2024-10-15,ACC-1041,51,255,1,84.81
2024-10-15,ACC-1042,493,2958,20,74.41
2024-10-15,ACC-1043,188,1504,6,82.28
2024-10-15,ACC-1044,84,504,0,78.68
2024-10-15,ACC-1045,709,2836,30,70.69
2024-10-15,ACC-1046,213,1278,2,75.01
2024-10-15,ACC-1047,78,780,1,95.43
2024-10-15,ACC-1048,605,7260,15,70.33
2024-10-15,ACC-1049,240,2880,6,72.71
2024-10-15,ACC-1050,69,345,2,90.52
2024-10-15,ACC-1051,704,5632,35,85.04
2024-10-15,ACC-1052,220,1320,9,87.97
2024-10-15,ACC-1053,74,518,1,81.75
2024-10-15,ACC-1054,423,2115,20,93.59
2024-10-15,ACC-1055,130,1170,1,78.39
2024-10-15,ACC-1056,60,480,1,91.02
2024-10-15,ACC-1057,609,4872,23,72.58
2024-10-15,ACC-1058,132,660,2,89.6
2024-10-15,ACC-1059,76,912,1,90.1
2024-10-15,ACC-1060,580,6960,19,70.52
2024-10-15,ACC-1061,162,972,6,78.19
2024-10-15,ACC-1062,76,760,2,77.45
2024-10-15,ACC-1063,596,4768,26,79.31
2024-10-15,ACC-1064,183,1830,2,73.19
2024-10-15,ACC-1065,49,196,0,75.72
2024-10-15,ACC-1066,441,2205,7,84.83
2024-10-15,ACC-1067,226,1130,2,82.16
2024-10-15,ACC-1068,85,425,3,72.92
2024-10-15,ACC-1069,419,4190,16,87.5
2024-10-15,ACC-1070,246,1230,11,73.48
2024-10-15,ACC-1071,70,840,1,84.25
2024-10-15,ACC-1072,538,6456,8,76.85
2024-10-15,ACC-1073,183,2013,5,87.83
2024-10-15,ACC-1074,57,684,2,78.98
2024-10-15,ACC-1075,467,3736,7,78.55
2024-10-15,ACC-1076,173,1038,5,78.71
2024-10-15,ACC-1077,68,816,1,88.65
2024-10-15,ACC-1078,529,2116,24,83.65
2024-10-15,ACC-1079,207,2484,9,92.06
2024-10-15,ACC-1080,66,264,2,73.67
2024-10-15,ACC-1081,730,4380,21,85.41
2024-10-15,ACC-1082,149,1639,2,74.23
2024-10-15,ACC-1083,53,583,2,84.83
2024-10-15,ACC-1084,561,3366,13,84.73
2024-10-15,ACC-1085,202,2222,2,77.04
