booking_date,region_code,account_id,product_family,booking_amount_usd,target_amount_usd,discount_pct,channel
2024-10-04,EU,ACC-1067,automation-suite,3336.26,4456.49,0.127,direct
2024-10-04,NA,ACC-1072,core-monitoring,6391.74,8147.78,0.061,digital
2024-10-04,AP,ACC-1074,security-analytics,2077.34,2902.99,0.079,direct
2024-10-04,LA,ACC-1075,core-monitoring,5041.46,7184.62,0.151,direct
2024-10-04,EU,ACC-1079,automation-suite,6242.29,7956.02,0.098,partner
2024-10-04,AF,ACC-1083,security-analytics,2547.58,3361.23,0.079,direct
2024-10-04,NA,ACC-1090,core-monitoring,2752.94,4927.75,0.123,direct
2024-10-04,NA,ACC-1102,core-monitoring,7110.57,9967.55,0.075,partner
2024-10-04,EU,ACC-1109,automation-suite,3053.48,3763.75,0.144,direct
2024-10-04,EU,ACC-1115,automation-suite,4022.55,4825.01,0.055,direct
2024-10-04,AP,ACC-1128,security-analytics,2410.2,3242.92,0.102,direct
2024-10-04,AF,ACC-1131,security-analytics,3134.92,4025.74,0.036,partner
2024-10-04,ME,ACC-1142,automation-suite,3642.41,6408.59,0.093,direct
2024-10-04,ME,ACC-1160,automation-suite,3869.55,4375.17,0.169,digital
2024-10-04,AP,ACC-1176,security-analytics,2277.5,3736.62,0.177,partner
2024-10-04,AP,ACC-1176,security-analytics,3057.01,3736.62,0.094,partner
2024-10-04,LA,ACC-1189,core-monitoring,6109.18,10062.83,0.154,partner
2024-10-04,AF,ACC-1191,security-analytics,1560.87,2338.02,0.131,digital
2024-10-04,NA,ACC-1198,core-monitoring,5143.33,5703.45,0.171,partner
2024-10-04,LA,ACC-1201,core-monitoring,9162.58,10840.25,0.187,direct
2024-10-04,EU,ACC-1223,automation-suite,4310.6,4983.09,0.043,partner
2024-10-05,NA,ACC-1000,core-monitoring,9681.78,12099.98,0.148,direct
2024-10-05,ME,ACC-1016,automation-suite,6730.29,8366.12,0.1,digital
2024-10-05,LA,ACC-1021,core-monitoring,6786.58,8234.23,0.063,direct
2024-10-05,AF,ACC-1029,security-analytics,2322.9,2741.89,0.036,partner
2024-10-05,EU,ACC-1031,automation-suite,6224.03,8201.96,0.152,partner
2024-10-05,AP,ACC-1044,security-analytics,3406.67,4039.65,0.085,partner
2024-10-05,NA,ACC-1054,core-monitoring,10433.62,12879.4,0.034,partner
2024-10-05,EU,ACC-1055,automation-suite,4097.77,6059.59,0.075,partner
2024-10-05,AF,ACC-1059,security-analytics,1732.19,2606.8,0.185,direct
2024-10-05,EU,ACC-1061,automation-suite,6037.33,8298.44,0.076,direct
2024-10-05,LA,ACC-1081,core-monitoring,4280.21,7886.78,0.129,partner
2024-10-05,ME,ACC-1082,automation-suite,2717.16,3053.6,0.113,direct
2024-10-05,AF,ACC-1083,security-analytics,2748.36,3361.23,0.072,digital
2024-10-05,AP,ACC-1086,security-analytics,2446.06,3551.94,0.148,digital
2024-10-05,ME,ACC-1100,automation-suite,6896.73,9049.81,0.028,partner
2024-10-05,AF,ACC-1107,security-analytics,1936.01,3157.56,0.072,direct
2024-10-05,NA,ACC-1144,core-monitoring,4897.09,6278.4,0.15,digital
2024-10-05,ME,ACC-1148,automation-suite,6309.78,7866.61,0.039,partner
2024-10-05,LA,ACC-1159,core-monitoring,7923.98,11334.0,0.149,partner
2024-10-05,EU,ACC-1163,automation-suite,7010.91,8518.0,0.106,digital
2024-10-05,NA,ACC-1168,core-monitoring,4436.16,7151.53,0.055,direct
2024-10-05,AF,ACC-1173,security-analytics,1246.66,2293.42,0.057,direct
2024-10-05,EU,ACC-1205,automation-suite,5868.33,9003.38,0.181,digital
2024-10-05,AP,ACC-1230,security-analytics,3053.41,3703.9,0.061,partner
2024-10-06,NA,ACC-1000,core-monitoring,9137.09,12099.98,0.142,partner
2024-10-06,EU,ACC-1013,automation-suite,5545.44,7975.29,0.069,direct
2024-10-06,LA,ACC-1027,core-monitoring,5522.09,6933.08,0.148,direct
2024-10-06,LA,ACC-1027,core-monitoring,5783.68,6933.08,0.102,partner
2024-10-06,LA,ACC-1027,core-monitoring,4446.06,6933.08,0.188,partner
2024-10-06,NA,ACC-1030,core-monitoring,13124.78,16532.03,0.029,direct
2024-10-06,LA,ACC-1033,core-monitoring,9099.4,11133.88,0.124,digital
2024-10-06,AP,ACC-1038,security-analytics,2405.16,3400.69,0.098,digital
2024-10-06,NA,ACC-1054,core-monitoring,7738.49,12879.4,0.103,partner
2024-10-06,NA,ACC-1078,core-monitoring,6868.62,10332.2,0.07,digital
2024-10-06,AP,ACC-1086,security-analytics,3037.11,3551.94,0.171,digital
2024-10-06,ME,ACC-1094,automation-suite,4282.83,5196.04,0.097,partner
2024-10-06,LA,ACC-1099,core-monitoring,5459.71,6272.08,0.079,direct
2024-10-06,EU,ACC-1103,automation-suite,3778.41,5769.77,0.165,digital
2024-10-06,AF,ACC-1107,security-analytics,2765.56,3157.56,0.137,digital
2024-10-06,LA,ACC-1123,core-monitoring,3832.93,5403.75,0.045,digital
2024-10-06,NA,ACC-1126,core-monitoring,15760.78,17787.17,0.173,direct
2024-10-06,LA,ACC-1129,core-monitoring,4025.16,7845.7,0.177,partner
2024-10-06,LA,ACC-1135,core-monitoring,4166.49,7022.55,0.029,digital
2024-10-06,AP,ACC-1140,security-analytics,1016.79,1397.65,0.03,digital
2024-10-06,AP,ACC-1146,security-analytics,1608.39,2993.53,0.03,digital
2024-10-06,LA,ACC-1147,core-monitoring,6188.88,8269.3,0.1,direct
2024-10-06,LA,ACC-1177,core-monitoring,8267.29,9522.43,0.043,direct
2024-10-06,EU,ACC-1187,automation-suite,2792.68,4420.88,0.188,digital
2024-10-06,AP,ACC-1188,security-analytics,2237.91,3498.57,0.069,direct
2024-10-06,NA,ACC-1192,core-monitoring,9787.01,13045.4,0.139,direct
2024-10-06,ME,ACC-1214,automation-suite,3024.02,5315.74,0.032,partner
2024-10-06,AF,ACC-1215,security-analytics,2189.52,3500.78,0.121,digital
2024-10-06,EU,ACC-1217,automation-suite,2194.43,3264.28,0.114,direct
2024-10-06,ME,ACC-1220,automation-suite,5170.69,6371.19,0.172,direct
2024-10-06,AF,ACC-1227,security-analytics,1290.36,2151.59,0.09,partner
2024-10-06,AF,ACC-1227,security-analytics,1738.95,2151.59,0.038,direct
2024-10-06,EU,ACC-1229,automation-suite,3592.51,5842.99,0.146,direct
2024-10-06,EU,ACC-1235,automation-suite,3861.48,4887.98,0.118,direct
2024-10-06,AF,ACC-1239,security-analytics,1538.67,1853.5,0.077,partner
2024-10-07,ME,ACC-1022,automation-suite,4454.89,7135.79,0.178,digital
2024-10-07,NA,ACC-1024,core-monitoring,4568.81,5112.43,0.159,partner
2024-10-07,AF,ACC-1035,security-analytics,2761.43,3764.97,0.052,partner
2024-10-07,EU,ACC-1043,automation-suite,2968.15,5001.71,0.118,digital
2024-10-07,AP,ACC-1050,security-analytics,1460.29,2695.18,0.037,digital
2024-10-07,LA,ACC-1063,core-monitoring,4452.89,7417.95,0.083,partner
2024-10-07,ME,ACC-1070,automation-suite,2022.37,3068.54,0.092,digital
2024-10-07,LA,ACC-1075,core-monitoring,4166.87,7184.62,0.16,direct
2024-10-07,AF,ACC-1095,security-analytics,1936.01,2276.73,0.021,digital
2024-10-07,AF,ACC-1113,security-analytics,1741.75,3032.05,0.113,direct
2024-10-07,AF,ACC-1131,security-analytics,2214.92,4025.74,0.166,digital
2024-10-07,AP,ACC-1134,security-analytics,1125.94,1238.04,0.106,direct
2024-10-07,ME,ACC-1136,automation-suite,6906.61,8255.46,0.133,partner
2024-10-07,AF,ACC-1143,security-analytics,1991.85,2792.43,0.08,partner
2024-10-07,AF,ACC-1149,security-analytics,1631.5,3115.98,0.043,direct
2024-10-07,AF,ACC-1173,security-analytics,1852.46,2293.42,0.117,partner
2024-10-07,AF,ACC-1185,security-analytics,627.87,1146.06,0.027,partner
2024-10-07,ME,ACC-1190,automation-suite,2379.65,4464.81,0.119,partner
2024-10-07,EU,ACC-1193,automation-suite,3378.17,4892.27,0.179,partner
2024-10-07,LA,ACC-1201,core-monitoring,8931.69,10840.25,0.07,digital
2024-10-07,NA,ACC-1204,core-monitoring,5774.47,6797.25,0.163,digital
2024-10-07,AF,ACC-1221,security-analytics,2769.19,3428.23,0.076,partner
2024-10-07,NA,ACC-1222,core-monitoring,9697.95,14747.3,0.128,direct
2024-10-07,ME,ACC-1226,automation-suite,6328.02,8057.41,0.076,digital
2024-10-07,EU,ACC-1229,automation-suite,4439.1,5842.99,0.188,partner
2024-10-07,NA,ACC-1234,core-monitoring,4171.68,5445.28,0.049,digital
2024-10-08,NA,ACC-1006,core-monitoring,11761.92,15806.1,0.045,direct
2024-10-08,EU,ACC-1007,automation-suite,2129.86,3011.73,0.165,partner
2024-10-08,EU,ACC-1007,automation-suite,2548.9,3011.73,0.091,digital
2024-10-08,AF,ACC-1011,security-analytics,1870.55,3242.2,0.13,direct
2024-10-08,NA,ACC-1018,core-monitoring,7598.45,12489.8,0.132,direct
2024-10-08,NA,ACC-1018,core-monitoring,9837.78,12489.8,0.165,direct
2024-10-08,EU,ACC-1019,automation-suite,3727.95,4149.56,0.038,partner
2024-10-08,LA,ACC-1021,core-monitoring,5669.74,8234.23,0.174,partner
2024-10-08,AP,ACC-1056,security-analytics,2107.64,3740.49,0.077,direct
2024-10-08,AP,ACC-1068,security-analytics,1976.99,3128.71,0.187,digital
2024-10-08,ME,ACC-1070,automation-suite,1780.25,3068.54,0.146,partner
2024-10-08,AP,ACC-1074,security-analytics,2085.73,2902.99,0.162,partner
2024-10-08,ME,ACC-1088,automation-suite,4248.63,5611.0,0.09,direct
2024-10-08,AF,ACC-1089,security-analytics,2112.47,2822.53,0.17,digital
2024-10-08,EU,ACC-1091,automation-suite,7981.58,8719.37,0.171,partner
2024-10-08,AP,ACC-1092,security-analytics,3469.13,4018.45,0.156,partner
2024-10-08,NA,ACC-1102,core-monitoring,6465.58,9967.55,0.11,digital
2024-10-08,AP,ACC-1110,security-analytics,2236.17,3961.98,0.08,partner
2024-10-08,EU,ACC-1121,automation-suite,2292.11,2743.41,0.188,direct
2024-10-08,EU,ACC-1151,automation-suite,2449.77,4190.79,0.17,partner
2024-10-08,AF,ACC-1173,security-analytics,1761.79,2293.42,0.055,digital
2024-10-08,AP,ACC-1176,security-analytics,2207.89,3736.62,0.183,direct
2024-10-08,AF,ACC-1185,security-analytics,933.38,1146.06,0.119,digital
2024-10-08,EU,ACC-1199,automation-suite,1886.65,2729.92,0.036,partner
2024-10-09,ME,ACC-1004,automation-suite,2325.76,2906.7,0.149,digital
2024-10-09,AP,ACC-1014,security-analytics,1043.51,1462.05,0.15,direct
2024-10-09,EU,ACC-1019,automation-suite,3312.68,4149.56,0.098,direct
2024-10-09,LA,ACC-1045,core-monitoring,6969.3,11633.4,0.045,direct
2024-10-09,ME,ACC-1064,automation-suite,2159.22,3085.14,0.149,direct
2024-10-09,ME,ACC-1076,automation-suite,2132.61,3581.31,0.089,direct
2024-10-09,AF,ACC-1095,security-analytics,1713.29,2276.73,0.144,partner
2024-10-09,NA,ACC-1108,core-monitoring,7420.98,8161.23,0.163,partner
2024-10-09,AF,ACC-1125,security-analytics,3161.94,3597.88,0.19,direct
2024-10-09,EU,ACC-1139,automation-suite,6488.55,7284.22,0.135,digital
2024-10-09,LA,ACC-1147,core-monitoring,5821.93,8269.3,0.075,digital
2024-10-09,EU,ACC-1151,automation-suite,3047.69,4190.79,0.181,digital
2024-10-09,ME,ACC-1154,automation-suite,4348.58,6776.01,0.04,partner
2024-10-09,ME,ACC-1172,automation-suite,7845.15,9040.47,0.089,partner
2024-10-09,ME,ACC-1172,automation-suite,6244.16,9040.47,0.107,partner
2024-10-09,AP,ACC-1182,security-analytics,2253.75,3888.36,0.079,partner
2024-10-09,LA,ACC-1195,core-monitoring,7692.86,9577.23,0.093,partner
2024-10-09,ME,ACC-1208,automation-suite,2105.88,3209.86,0.098,partner
2024-10-09,EU,ACC-1229,automation-suite,4705.43,5842.99,0.058,direct
2024-10-10,AP,ACC-1068,security-analytics,2380.28,3128.71,0.05,direct
2024-10-10,NA,ACC-1072,core-monitoring,6082.37,8147.78,0.081,partner
2024-10-10,AP,ACC-1080,security-analytics,2309.59,3739.32,0.109,digital
2024-10-10,EU,ACC-1085,automation-suite,2195.5,3243.19,0.092,partner
2024-10-10,AP,ACC-1092,security-analytics,2755.64,4018.45,0.136,digital
2024-10-10,ME,ACC-1118,automation-suite,2521.5,3116.19,0.045,partner
2024-10-10,AF,ACC-1143,security-analytics,2387.19,2792.43,0.178,partner
2024-10-10,AF,ACC-1143,security-analytics,2374.29,2792.43,0.12,digital
2024-10-10,LA,ACC-1153,core-monitoring,14432.52,17226.53,0.024,partner
2024-10-10,AF,ACC-1155,security-analytics,1213.1,1647.49,0.108,partner
2024-10-10,AP,ACC-1164,security-analytics,2244.04,3774.01,0.166,partner
2024-10-10,EU,ACC-1169,automation-suite,6547.97,8831.73,0.039,direct
2024-10-10,NA,ACC-1174,core-monitoring,4940.65,5648.18,0.15,direct
2024-10-10,AF,ACC-1209,security-analytics,1630.16,2811.96,0.127,digital
2024-10-10,LA,ACC-1213,core-monitoring,8977.49,16261.62,0.044,direct
2024-10-10,EU,ACC-1235,automation-suite,2590.8,4887.98,0.097,digital
2024-10-11,NA,ACC-1000,core-monitoring,9729.82,12099.98,0.175,partner
2024-10-11,LA,ACC-1003,core-monitoring,7727.19,11509.25,0.174,direct
2024-10-11,EU,ACC-1019,automation-suite,3158.0,4149.56,0.072,digital
2024-10-11,EU,ACC-1037,automation-suite,5172.46,8096.93,0.136,digital
2024-10-11,EU,ACC-1037,automation-suite,4681.77,8096.93,0.086,digital
2024-10-11,LA,ACC-1045,core-monitoring,8429.25,11633.4,0.104,direct
2024-10-11,EU,ACC-1061,automation-suite,5093.62,8298.44,0.109,direct
2024-10-11,AF,ACC-1071,security-analytics,839.05,1526.31,0.095,partner
2024-10-11,AP,ACC-1098,security-analytics,2249.91,3339.59,0.051,digital
2024-10-11,AP,ACC-1110,security-analytics,2876.94,3961.98,0.159,direct
2024-10-11,NA,ACC-1114,core-monitoring,7947.17,9675.98,0.125,direct
2024-10-11,AF,ACC-1119,security-analytics,2792.02,3474.99,0.071,digital
2024-10-11,LA,ACC-1123,core-monitoring,3027.4,5403.75,0.173,partner
2024-10-11,ME,ACC-1124,automation-suite,2920.63,4083.75,0.11,digital
2024-10-11,NA,ACC-1138,core-monitoring,5937.87,8773.77,0.118,partner
2024-10-11,AF,ACC-1161,security-analytics,2981.42,3278.88,0.099,digital
2024-10-11,NA,ACC-1180,core-monitoring,10353.26,17101.92,0.126,direct
2024-10-11,EU,ACC-1193,automation-suite,2656.82,4892.27,0.039,direct
2024-10-11,NA,ACC-1198,core-monitoring,4944.84,5703.45,0.073,digital
2024-10-11,AP,ACC-1200,security-analytics,2062.16,2808.05,0.058,digital
2024-10-11,AF,ACC-1203,security-analytics,2272.14,2561.89,0.023,direct
2024-10-11,NA,ACC-1204,core-monitoring,4682.71,6797.25,0.033,direct
2024-10-11,LA,ACC-1207,core-monitoring,8352.48,10375.48,0.036,direct
2024-10-11,NA,ACC-1210,core-monitoring,10316.27,15168.23,0.171,direct
2024-10-11,NA,ACC-1216,core-monitoring,2914.36,5341.78,0.041,partner
2024-10-11,LA,ACC-1225,core-monitoring,13499.44,17146.1,0.096,direct
2024-10-11,LA,ACC-1237,core-monitoring,4213.62,7389.33,0.109,digital
2024-10-12,AP,ACC-1008,security-analytics,1263.42,1762.11,0.033,direct
2024-10-12,AP,ACC-1008,security-analytics,1300.29,1762.11,0.028,partner
2024-10-12,ME,ACC-1010,automation-suite,3426.38,5791.77,0.125,partner
2024-10-12,ME,ACC-1010,automation-suite,4958.74,5791.77,0.022,direct
2024-10-12,EU,ACC-1025,automation-suite,3053.34,4873.46,0.128,digital
2024-10-12,AF,ACC-1035,security-analytics,2320.81,3764.97,0.059,digital
2024-10-12,AF,ACC-1053,security-analytics,1947.36,2339.59,0.161,digital
2024-10-12,ME,ACC-1058,automation-suite,2918.25,3547.41,0.086,partner
2024-10-12,LA,ACC-1069,core-monitoring,7367.82,12182.53,0.065,digital
2024-10-12,NA,ACC-1078,core-monitoring,8471.62,10332.2,0.154,direct
2024-10-12,LA,ACC-1081,core-monitoring,6753.18,7886.78,0.08,digital
2024-10-12,LA,ACC-1087,core-monitoring,13479.11,15362.33,0.082,direct
2024-10-12,AF,ACC-1089,security-analytics,1507.18,2822.53,0.155,direct
2024-10-12,LA,ACC-1093,core-monitoring,12459.08,16464.3,0.181,digital
2024-10-12,AP,ACC-1104,security-analytics,1943.23,2579.71,0.09,digital
2024-10-12,AP,ACC-1104,security-analytics,1317.33,2579.71,0.05,partner
2024-10-12,AF,ACC-1107,security-analytics,2047.23,3157.56,0.112,partner
2024-10-12,NA,ACC-1150,core-monitoring,6468.32,9162.35,0.182,digital
2024-10-12,EU,ACC-1151,automation-suite,3352.7,4190.79,0.038,partner
2024-10-12,EU,ACC-1163,automation-suite,5842.13,8518.0,0.062,direct
2024-10-12,AF,ACC-1167,security-analytics,1449.37,2172.33,0.041,digital
2024-10-12,AF,ACC-1185,security-analytics,887.08,1146.06,0.093,direct
2024-10-12,NA,ACC-1210,core-monitoring,8374.93,15168.23,0.062,partner
2024-10-12,EU,ACC-1211,automation-suite,2829.41,4246.8,0.03,partner
2024-10-12,AF,ACC-1221,security-analytics,2352.37,3428.23,0.19,partner
2024-10-13,AP,ACC-1002,security-analytics,1685.53,3265.92,0.041,digital
2024-10-13,ME,ACC-1004,automation-suite,1664.31,2906.7,0.092,digital
2024-10-13,ME,ACC-1004,automation-suite,1761.85,2906.7,0.04,partner
2024-10-13,AF,ACC-1005,security-analytics,948.42,1182.73,0.126,partner
2024-10-13,AF,ACC-1011,security-analytics,1667.25,3242.2,0.183,digital
2024-10-13,ME,ACC-1028,automation-suite,3712.38,4585.69,0.057,digital
2024-10-13,NA,ACC-1048,core-monitoring,14365.88,16278.75,0.15,partner
2024-10-13,ME,ACC-1052,automation-suite,4788.18,6418.88,0.032,digital
2024-10-13,AP,ACC-1056,security-analytics,2207.19,3740.49,0.183,direct
2024-10-13,EU,ACC-1073,automation-suite,7103.2,8335.95,0.124,digital
2024-10-13,ME,ACC-1112,automation-suite,2973.52,5370.2,0.068,direct
2024-10-13,EU,ACC-1121,automation-suite,2018.3,2743.41,0.151,digital
2024-10-13,EU,ACC-1127,automation-suite,1875.39,3299.43,0.097,digital
2024-10-13,ME,ACC-1190,automation-suite,3417.99,4464.81,0.129,partner
2024-10-13,AP,ACC-1200,security-analytics,2372.09,2808.05,0.157,direct
2024-10-13,AP,ACC-1206,security-analytics,3106.15,3443.31,0.123,partner
2024-10-13,AP,ACC-1218,security-analytics,1525.58,1727.33,0.028,partner
2024-10-13,LA,ACC-1225,core-monitoring,13437.46,17146.1,0.068,digital
2024-10-13,AP,ACC-1230,security-analytics,2951.79,3703.9,0.153,digital
2024-10-14,AF,ACC-1005,security-analytics,672.9,1182.73,0.08,direct
2024-10-14,AP,ACC-1008,security-analytics,1402.39,1762.11,0.044,partner
2024-10-14,ME,ACC-1016,automation-suite,5693.68,8366.12,0.161,digital
2024-10-14,AF,ACC-1035,security-analytics,1960.04,3764.97,0.056,digital
2024-10-14,ME,ACC-1046,automation-suite,2121.22,4073.14,0.177,digital
2024-10-14,NA,ACC-1048,core-monitoring,14463.1,16278.75,0.061,digital
2024-10-14,LA,ACC-1057,core-monitoring,13609.66,17024.15,0.09,direct
2024-10-14,NA,ACC-1084,core-monitoring,6091.35,8740.9,0.177,digital
2024-10-14,ME,ACC-1088,automation-suite,3286.03,5611.0,0.17,digital
2024-10-14,AF,ACC-1089,security-analytics,2110.66,2822.53,0.045,direct
2024-10-14,NA,ACC-1090,core-monitoring,3477.95,4927.75,0.124,partner
2024-10-14,EU,ACC-1097,automation-suite,7614.65,8518.08,0.02,direct
2024-10-14,LA,ACC-1099,core-monitoring,4314.39,6272.08,0.139,digital
2024-10-14,LA,ACC-1105,core-monitoring,7545.14,12239.6,0.075,partner
2024-10-14,ME,ACC-1118,automation-suite,1617.44,3116.19,0.049,partner
2024-10-14,NA,ACC-1120,core-monitoring,10769.65,13776.7,0.177,partner
2024-10-14,AF,ACC-1131,security-analytics,2292.84,4025.74,0.166,digital
2024-10-14,EU,ACC-1133,automation-suite,4103.34,7237.25,0.126,direct
2024-10-14,ME,ACC-1148,automation-suite,6703.97,7866.61,0.058,direct
2024-10-14,LA,ACC-1153,core-monitoring,13803.62,17226.53,0.051,direct
2024-10-14,NA,ACC-1168,core-monitoring,3731.87,7151.53,0.059,partner
2024-10-14,AP,ACC-1194,security-analytics,762.93,1401.66,0.149,digital
2024-10-14,ME,ACC-1202,automation-suite,5050.15,5966.68,0.104,partner
2024-10-14,ME,ACC-1208,automation-suite,2046.71,3209.86,0.095,digital
2024-10-15,LA,ACC-1015,core-monitoring,6254.23,7084.83,0.032,partner
2024-10-15,AF,ACC-1017,security-analytics,1133.66,2215.12,0.12,partner
2024-10-15,AP,ACC-1026,security-analytics,2973.93,3910.82,0.066,digital
2024-10-15,AF,ACC-1029,security-analytics,1898.28,2741.89,0.11,partner
2024-10-15,NA,ACC-1036,core-monitoring,11752.22,15316.62,0.158,digital
2024-10-15,ME,ACC-1058,automation-suite,2338.06,3547.41,0.103,partner
2024-10-15,AF,ACC-1059,security-analytics,1741.73,2606.8,0.075,direct
2024-10-15,AP,ACC-1062,security-analytics,1027.02,1889.6,0.106,partner
